Year,District,State,T2M,T2M_MAX,T2M_MIN,RH2M,ALLSKY_SFC_SW_DWN,WS2M,ALLSKY_SFC_PAR_TOT
1990,East Godavari,Andhra Pradesh,27.27106849,32.75257534,23.15813699,74.65457534,17.69947945,2.463589041,8.837561644
1991,East Godavari,Andhra Pradesh,27.38172603,32.99287671,23.09139726,73.81131507,17.56210959,2.416219178,8.788849315
1992,East Godavari,Andhra Pradesh,26.9865847,32.65497268,22.57513661,74.20997268,17.90087432,2.143224044,8.904234973
1993,East Godavari,Andhra Pradesh,27.32010959,33.19789041,22.79657534,71.88931507,18.20457534,2.316520548,9.089890411
1994,East Godavari,Andhra Pradesh,27.29630137,32.84408219,23.01205479,73.10783562,17.91487671,2.413369863,8.933643836
1995,East Godavari,Andhra Pradesh,26.68120548,31.63035616,22.80906849,78.06347945,17.05961644,2.097726027,8.505232877
1996,East Godavari,Andhra Pradesh,27.04330601,32.45437158,22.90098361,75.2045082,17.36800546,2.220027322,8.630546448
1997,East Godavari,Andhra Pradesh,27.71610959,33.29846575,23.42926027,72.25723288,17.53816438,2.275041096,8.811123288
1998,East Godavari,Andhra Pradesh,27.69167123,32.81780822,23.74054795,75.14671233,17.37887671,2.232164384,8.654027397
1999,East Godavari,Andhra Pradesh,27.24709589,33.03128767,22.7559726,72.2270411,18.7959726,2.27260274,9.405260274
2000,East Godavari,Andhra Pradesh,27.53969945,33.47704918,23.05327869,71.42046448,18.60046448,2.309808743,9.274098361
2001,East Godavari,Andhra Pradesh,27.59213699,33.29260274,23.22649315,71.64134247,17.69838356,2.223643836,8.253013699
2002,East Godavari,Andhra Pradesh,28.11978082,34.2670137,23.48482192,68.76487671,18.50556164,2.339643836,8.607890411
2003,East Godavari,Andhra Pradesh,27.6270137,33.18616438,23.34405479,72.86761644,17.87350685,2.363835616,8.333315068
2004,East Godavari,Andhra Pradesh,27.0295082,32.54650273,22.7815847,74.3647541,18.75306011,2.213934426,8.712868852
2005,East Godavari,Andhra Pradesh,27.47232877,32.73158904,23.40526027,73.95419178,17.94605479,2.283479452,8.360109589
2006,East Godavari,Andhra Pradesh,27.13213699,32.47334247,22.954,74.60189041,18.11920548,2.084054795,8.417780822
2007,East Godavari,Andhra Pradesh,27.08873973,32.376,22.99482192,75.04208219,18.21139726,2.214712329,8.447753425
2008,East Godavari,Andhra Pradesh,27.2589071,32.79713115,23.10497268,73.96912568,17.9952459,2.085136612,8.350163934
2009,East Godavari,Andhra Pradesh,28.15660274,34.11057534,23.65405479,69.61567123,18.27410959,2.154164384,8.449835616
2010,East Godavari,Andhra Pradesh,27.40835616,32.49068493,23.54635616,76.40389041,17.27427397,2.231643836,8.04830137
2011,East Godavari,Andhra Pradesh,27.10753425,32.72520548,22.76684932,73.38808219,18.55449315,2.135287671,8.566876712
2012,East Godavari,Andhra Pradesh,27.32945355,32.86398907,23.07153005,73.75412568,17.73185792,2.159043716,8.192568306
2013,East Godavari,Andhra Pradesh,27.09723288,32.4690137,22.92624658,74.74794521,17.57068493,2.322575342,8.135917808
2014,East Godavari,Andhra Pradesh,27.64610959,33.45526027,23.13084932,70.11186301,17.89123288,2.205178082,8.236054795
2015,East Godavari,Andhra Pradesh,27.3760274,32.80306849,23.2080274,73.49950685,18.21649315,2.114767123,8.408684932
2016,East Godavari,Andhra Pradesh,27.45953552,33.19139344,23.04846995,73.23275956,17.99918033,2.157923497,8.314508197
2017,East Godavari,Andhra Pradesh,27.56684932,33.23852055,23.22986301,73.6030411,18.03665753,2.093013699,8.309315068
2018,East Godavari,Andhra Pradesh,27.42356164,33.28284932,22.962,71.80528767,18.11591781,2.137589041,8.319945205
2019,East Godavari,Andhra Pradesh,27.54421918,32.98589041,23.38558904,74.40673973,18.20854795,2.24830137,8.417561644
1990,Guntur,Andhra Pradesh,27.88024658,33.99873973,23.19638356,70.7719726,18.13706849,2.591506849,9.027479452
1991,Guntur,Andhra Pradesh,27.8649863,33.99224658,23.09087671,71.17035616,18.11673973,2.616027397,8.988273973
1992,Guntur,Andhra Pradesh,27.53306011,33.79434426,22.52084699,70.41071038,18.55251366,2.36579235,9.223415301
1993,Guntur,Andhra Pradesh,27.98882192,34.43024658,22.97509589,68.04120548,18.61619178,2.495534247,9.260547945
1994,Guntur,Andhra Pradesh,27.84556164,33.86367123,23.04123288,70.09372603,18.18,2.491424658,9.043972603
1995,Guntur,Andhra Pradesh,27.22443836,32.84564384,22.71660274,74.0729863,17.73863014,2.227589041,8.781369863
1996,Guntur,Andhra Pradesh,27.65546448,33.63729508,22.94803279,71.49150273,17.88046448,2.341885246,8.859699454
1997,Guntur,Andhra Pradesh,28.20928767,34.14019178,23.46610959,69.5550411,18.04334247,2.395863014,9.040575342
1998,Guntur,Andhra Pradesh,28.2060274,33.84616438,23.72761644,71.95131507,17.87610959,2.375561644,8.884054795
1999,Guntur,Andhra Pradesh,28.02871233,34.4829863,22.91443836,66.90605479,18.99046575,2.398986301,9.461808219
2000,Guntur,Andhra Pradesh,27.7410929,33.73415301,22.9695082,70.72628415,18.54336066,2.334726776,9.233770492
2001,Guntur,Andhra Pradesh,28.0789589,34.19758904,23.25915068,68.69454795,17.8769589,2.348246575,8.317452055
2002,Guntur,Andhra Pradesh,28.53936986,34.97076712,23.49767123,66.52227397,18.64526027,2.503342466,8.661287671
2003,Guntur,Andhra Pradesh,28.30728767,34.44772603,23.46030137,68.82778082,18.12243836,2.485780822,8.436849315
2004,Guntur,Andhra Pradesh,27.72243169,33.89188525,22.84956284,69.79224044,18.66174863,2.353060109,8.660437158
2005,Guntur,Andhra Pradesh,27.95473973,33.70131507,23.3789589,71.10380822,17.8819726,2.420794521,8.317150685
2006,Guntur,Andhra Pradesh,27.65150685,33.41871233,22.94224658,71.33758904,18.31027397,2.195506849,8.492986301
2007,Guntur,Andhra Pradesh,27.4430411,33.15608219,22.83150685,72.5229863,18.19936986,2.319945205,8.431726027
2008,Guntur,Andhra Pradesh,27.71409836,33.53398907,23.09322404,70.94814208,18.1847541,2.145218579,8.424125683
2009,Guntur,Andhra Pradesh,28.42235616,34.69487671,23.48846575,68.10586301,18.46635616,2.25830137,8.515013699
2010,Guntur,Andhra Pradesh,27.90663014,33.57821918,23.50008219,73.6630411,17.352,2.329506849,8.071616438
2011,Guntur,Andhra Pradesh,27.95665753,34.29641096,23.00424658,68.30279452,18.73583562,2.299726027,8.642082192
2012,Guntur,Andhra Pradesh,27.87300546,33.99737705,23.06521858,70.19754098,18.02715847,2.282240437,8.310027322
2013,Guntur,Andhra Pradesh,27.45372603,33.2539726,22.86424658,72.34273973,17.7269863,2.390191781,8.190273973
2014,Guntur,Andhra Pradesh,28.17909589,34.33945205,23.23679452,66.95068493,17.73805479,2.313068493,8.163287671
2015,Guntur,Andhra Pradesh,28.21293151,34.46843836,23.29690411,67.95756164,18.24191781,2.288739726,8.412109589
2016,Guntur,Andhra Pradesh,28.03997268,34.50663934,22.97622951,68.6913388,17.98579235,2.402540984,8.291693989
2017,Guntur,Andhra Pradesh,28.14216438,34.28915068,23.23660274,69.85731507,18.13326027,2.125287671,8.336465753
2018,Guntur,Andhra Pradesh,28.18284932,34.64923288,23.12479452,67.40172603,18.03183562,2.278849315,8.273726027
2019,Guntur,Andhra Pradesh,28.19920548,34.126,23.56715068,71.24879452,18.02419178,2.358767123,8.329342466
1990,Kadapa YSR,Andhra Pradesh,27.89808219,34.83112329,22.26227397,60.33471233,18.8089863,3.21769863,9.327260274
1991,Kadapa YSR,Andhra Pradesh,28.1529589,34.93161644,22.45342466,60.00789041,18.94331507,3.045780822,9.423616438
1992,Kadapa YSR,Andhra Pradesh,27.44360656,34.4829235,21.55874317,60.33139344,19.25920765,2.864808743,9.52715847
1993,Kadapa YSR,Andhra Pradesh,27.64969863,34.29764384,22.00090411,61.44942466,18.90693151,3.017534247,9.340986301
1994,Kadapa YSR,Andhra Pradesh,27.61709589,34.28424658,22.11252055,62.05410959,18.77339726,3.214246575,9.339972603
1995,Kadapa YSR,Andhra Pradesh,26.95276712,33.41153425,21.60079452,66.60476712,19.07057534,2.842383562,9.440849315
1996,Kadapa YSR,Andhra Pradesh,27.22969945,33.70931694,21.67204918,63.88368852,18.46527322,2.795655738,9.06363388
1997,Kadapa YSR,Andhra Pradesh,27.69380822,34.2840274,22.25323288,62.98487671,18.75756164,2.972027397,9.35339726
1998,Kadapa YSR,Andhra Pradesh,27.86260274,34.03342466,22.62416438,65.2589589,18.79778082,2.755452055,9.284246575
1999,Kadapa YSR,Andhra Pradesh,27.47580822,34.23961644,21.85857534,61.13838356,19.90273973,2.977917808,9.869342466
2000,Kadapa YSR,Andhra Pradesh,27.39579235,34.0968306,21.88868852,63.56672131,19.64680328,2.914972678,9.67
2001,Kadapa YSR,Andhra Pradesh,27.72621918,34.22553425,22.28038356,62.13945205,19.03621918,3.052958904,8.780493151
2002,Kadapa YSR,Andhra Pradesh,27.73315068,34.61846575,22.02383562,62.45073973,19.908,3.056547945,9.158438356
2003,Kadapa YSR,Andhra Pradesh,28.32263014,35.19786301,22.6670411,59.83663014,19.48915068,2.977178082,8.97
2004,Kadapa YSR,Andhra Pradesh,27.09095628,33.71448087,21.62672131,64.90688525,19.84964481,2.937486339,9.121557377
2005,Kadapa YSR,Andhra Pradesh,27.28758904,33.3830411,22.20290411,66.62668493,18.88164384,2.702739726,8.698575342
2006,Kadapa YSR,Andhra Pradesh,27.26863014,33.89284932,21.90284932,64.76271233,19.60106849,2.832246575,9.015780822
2007,Kadapa YSR,Andhra Pradesh,26.87010959,33.14575342,21.60394521,67.15287671,19.3739726,2.69709589,8.902328767
2008,Kadapa YSR,Andhra Pradesh,27.13418033,33.54480874,21.80590164,65.1352459,19.62773224,2.734699454,9.010491803
2009,Kadapa YSR,Andhra Pradesh,27.79890411,34.37561644,22.3150411,62.32753425,19.64019178,3.020465753,8.979753425
2010,Kadapa YSR,Andhra Pradesh,27.56816438,33.74723288,22.46528767,66.9270137,18.75323288,2.724082192,8.653780822
2011,Kadapa YSR,Andhra Pradesh,27.34145205,34.25115068,21.76090411,63.62989041,19.93824658,2.973479452,9.100136986
2012,Kadapa YSR,Andhra Pradesh,28.0257377,35.15229508,22.11989071,59.43054645,19.79166667,3.052377049,9.026502732
2013,Kadapa YSR,Andhra Pradesh,27.47158904,34.03216438,22.00358904,63.92512329,18.84630137,3.068493151,8.633972603
2014,Kadapa YSR,Andhra Pradesh,27.78271233,34.52956164,22.1569589,61.08378082,19.2830411,3.010410959,8.810356164
